iter	Passed	Remaining
0	381	75872
1	779	77215
2	1146	75316
3	1515	74270
4	1888	73637
5	2245	72618
6	2647	72991
7	3042	73016
8	3420	72592
9	3781	71855
10	4157	71441
11	4509	70649
12	4893	70393
13	5244	69677
14	5601	69088
15	5985	68829
16	6330	68146
17	6688	67632
18	7034	67009
19	7405	66651
20	7768	66219
21	8159	66019
22	8524	65598
23	8903	65289
24	9289	65026
25	9645	64549
26	9991	64016
27	10363	63661
28	10727	63252
29	11099	62897
30	11447	62409
31	11841	62167
32	12187	61677
33	12229	59710
34	12583	59323
35	12932	58916
36	13303	58607
37	13652	58204
38	14013	57850
39	14407	57631
40	14822	57484
41	15207	57210
42	15559	56811
43	15941	56519
44	16313	56191
45	16667	55799
46	17019	55405
47	17384	55052
48	17545	54067
49	17602	52808
50	17947	52434
51	18323	52150
52	18677	51802
53	18726	50630
54	19097	50347
55	19442	49996
56	19794	49660
57	20134	49294
58	20182	48233
59	20554	47961
60	20902	47630
61	21279	47364
62	21665	47113
63	22037	46830
64	22391	46506
65	22743	46177
66	22796	45253
67	23143	44925
68	23513	44641
69	23608	43844
70	23953	43521
71	24298	43198
72	24650	42885
73	25021	42603
74	25374	42290
75	25765	42037
76	26127	41736
77	26478	41415
78	26865	41149
79	26920	40380
80	27267	40059
81	27647	39785
82	27992	39459
83	28333	39127
84	28692	38819
85	29065	38529
86	29445	38244
87	29830	37966
88	30194	37657
89	30540	37326
90	30912	37026
91	31280	36721
92	31668	36436
93	32041	36131
94	32386	35795
95	32745	35474
96	33089	35136
97	33148	34501
98	33520	34198
99	33587	33587
100	33977	33304
101	34315	32970
102	34681	32661
103	35020	32326
104	35369	32000
105	35790	31738
106	36128	31401
107	36477	31073
108	36517	30487
109	36861	30159
110	37235	29855
111	37594	29538
112	37937	29208
113	38325	28912
114	38688	28596
115	39081	28300
116	39473	28002
117	39870	27706
118	40009	27233
119	40351	26900
120	40709	26578
121	41081	26265
122	41465	25957
123	41813	25627
124	42159	25295
125	42508	24965
126	42853	24632
127	43198	24299
128	43550	23969
129	43642	23499
130	44011	23181
131	44392	22868
132	44764	22550
133	45107	22217
134	45453	21885
135	45827	21565
136	46198	21244
137	46575	20925
138	46952	20605
139	47318	20279
140	47368	19820
141	47738	19498
142	48083	19166
143	48433	18835
144	48829	18521
145	49176	18188
146	49522	17855
147	49896	17531
148	50263	17204
149	50627	16875
150	50688	16448
151	50746	16025
152	51089	15694
153	51434	15363
154	51787	15035
155	52161	14712
156	52535	14388
157	52902	14062
158	53246	13730
159	53603	13400
160	53991	13078
161	54336	12745
162	54718	12420
163	54765	12021
164	55108	11689
165	55460	11359
166	55834	11033
167	55880	10643
168	56228	10314
169	56580	9984
170	56928	9654
171	57300	9327
172	57371	8953
173	57415	8579
174	57561	8223
175	57911	7897
176	58253	7569
177	58633	7246
178	59001	6922
179	59347	6594
180	59709	6267
181	60052	5939
182	60114	5584
183	60486	5259
184	60578	4911
185	60936	4586
186	60986	4239
187	61330	3914
188	61677	3589
189	62069	3266
190	62459	2943
191	62519	2604
192	62897	2281
193	63241	1955
194	63587	1630
195	63956	1305
196	64301	979
197	64344	649
198	64489	324
199	64864	0
